secs,nano_secs,pressure,depth,time
1697719865,677137928,1543300.0,143,0
1697719865,688461651,1541900.0,143,0.011
1697719865,699880448,1542600.0,143,0.022
1697719865,711294060,1541900.0,143,0.033
1697719865,722658061,1542400.0,143,0.044
1697719865,734020173,1541900.0,143,0.055
1697719865,745553692,1541900.0,143,0.067
1697719865,756987989,1542800.0,143,0.078
1697719865,769023396,1543100.0,143,0.09
1697719865,780998211,1542700.0,143,0.102
1697719865,792341582,1541800.0,143,0.113
1697719865,803710083,1542800.0,143,0.124
1697719865,815025899,1544100.0,143,0.135
1697719865,826701159,1542800.0,143,0.147
1697719865,838106456,1543700.0,143,0.158
1697719865,849454290,1542300.0,143,0.169
1697719865,860826828,1543800.0,143,0.18
1697719865,872241292,1542500.0,143,0.191
1697719865,883576848,1542900.0,143,0.202
1697719865,895002423,1541100.0,143,0.213
1697719865,906469090,1543400.0,143,0.224
1697719865,917917906,1542800.0,143,0.235
1697719865,929340370,1542300.0,143,0.246
1697719865,940712871,1543900.0,143,0.257
1697719865,952110890,1542600.0,143,0.268
1697719865,963494965,1543200.0,143,0.279
1697719865,974905354,1542900.0,143,0.29
1697719865,986258855,1543200.0,143,0.301
1697719865,997617912,1543000.0,143,0.312
1697719866,8999358,1541900.0,143,0.323
1697719866,20398712,1543200.0,143,0.334
1697719866,31926807,1542000.0,143,0.346
1697719866,43240717,1543600.0,143,0.357
1697719866,54731312,1542500.0,143,0.368
1697719866,66101000,1543000.0,143,0.379
1697719866,77507595,1542700.0,143,0.39
1697719866,88924691,1542200.0,143,0.401
1697719866,100359212,1543900.0,143,0.412
1697719866,111812047,1543100.0,143,0.423
1697719866,123218513,1542800.0,143,0.434
1697719866,134717627,1542800.0,143,0.445
1697719866,146052426,1544000.0,143,0.456
1697719866,157452539,1543300.0,143,0.467
1697719866,168875283,1541800.0,143,0.478
1697719866,180277081,1543700.0,143,0.489
1697719866,191646917,1542800.0,143,0.5
1697719866,202999476,1542300.0,143,0.511
1697719866,214485311,1542300.0,143,0.522
1697719866,226026740,1543200.0,143,0.534
1697719866,237517001,1541300.0,143,0.545
1697719866,248795134,1543500.0,143,0.556
